Recipient,Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
30,"Pearce, Jeffrey B.",1968,Colorado,"Barth, Charles A.",Aeronomy/Solar Research,14.347,14.348,14.349,,
29,"Lillie, C. F.",1968,Wisconsin,Code,Ultraviolet Astronomy,,,,,
28,"Kastrozak, W. T.",1968,Minnesota,Cahill & Nier,,4.18,4.181,,,
27,"Jew, Howard",1968,Michigan,Carignan,Aero,,,,,
26,"Eltamsahy, Adel",1968,Michigan,Carignan,EE,,,,,
25,"Deehr, Charles S.",1968,Alaska,"Davis, John M.",Auroral Physics,,,,,
24,"Cresswell, George R.",1968,Alaska,"Davis, John M.",Auroral Physics,,,,,
23,"Norton, Richard B.",1967,Colorado,"Barth, Charles A.",Aeronomy,,,,,
22,"Cloutier, Paul",1967,Rice,"Anderson, Andrew B.",,14.242,14.243,,,
21,"Bauer, Pierre",1967,Michigan,Carignan,EE,,,,,
20,"Meir, Robert",1966,Pittsburgh,"Zipf, Edward C.",Sodium-Dayglow,,,,,
19,"Maynard, Nelson",1966,New Hampshire,"Arnoldy, Roger",,14.79,14.8,14.81,14.82,14.85
18,"Hedin, A. E.",1966,Minnesota,Cahill & Nier,,4.127,,,,
17,"Trainor, James",1965,New Hampshire,"Lockwood, J.",Cosmic Rays,,,,,
16,"Simmons, William R.",1965,Colorado,Rense,Solar Research,,,,,
15,"Miller, Ray",1965,Johns Hopkins,Fastie,,,,,,
14,"Bowyer, Stewart",1965,Catholic,Werntz,X-rays,,,,,
13,"Hord, C. W.",1964,Colorado,Wilshusen,Solar Research,,,,,
12,"Burkhead, Martin",1964,Wisconsin,Code,Ultraviolet Astronomy,,,,,
11,"Bruner, Elmomariln C.",1964,Colorado,Rense,Solar Research,,,,,
10,"Zipf, Edward C.",1961,Johns Hopkins,Fastie,,,,,,
9,"Kurtz, Dalton",1960,Colorado,Wilshusen,Solar Research,,,,,
8,"Violett, Theodore",1959,Colorado,Wilshusen,Solar Research,,,,,
7,"McAllister, Howard",1959,Colorado,Wilshusen,Solar Research,,,,,
6,"Cahill, Laurence J. Jr.",1959,Iowa,"Van Allen, James A.",,,,,,
5,"Behring, William",1959,Colorado,Wilshusen,Solar Research,,,,,
4,"Kasper, Joseph E.",1958,Iowa,"Van Allen, James A.",Rockoon,,,,,
3,"Stacey, David",1954,Colorado,Wilshusen,Solar Research,,,,,
2,"Meredith, Leslie H.",1954,Iowa,"Van Allen, J. A.",Cosmic Rays/Rockoon System - Arctic,,,,,
1,"Ellis, Robert A. Jr.",1954,Iowa,"Van Allen, James A.",Cosmic Ray/Rockoon,,,,,
